Country,Specimen,Confirmed,Population
Afghanistan,1865,4,41128771
Albania,26542,249,2842321
Algeria,363,66,44903225
Anguilla,0,0,15857
Antigua and Barbuda,0,0,93763
Argentina,152526,13705,45510318
Armenia,533,77,2780469
Aruba,0,0,106445
Australia,203952,11221,26177413
Austria,18754,436,8939617
Azerbaijan,40,0,10358074
Bahamas,0,0,409984
Bangladesh,9472,451,171186372
Barbados,0,0,281635
Belarus,2195,97,9534954
Belgium,736,521,11655930
Belize,1150,118,405272
Bermuda,0,0,64184
Bhutan,945,128,782455
Bolivia,943,137,12224110
Bosnia and Herz.,785,0,3233526
Brazil,44258,2884,215313498
British Virgin Islands,0,0,31305
Bulgaria,1780,96,6781953
Burkina Faso,178,20,22673762
Cambodia,3749,15,16767842
Cameroon,214,32,27914536
Canada,487599,15398,38454327
Cayman Islands,0,0,68706
Central African Rep.,601,35,5579144
Chad,74,1,17723315
Chile,70058,5323,19603733
China,303632,48553,1425887337
"China, Hong Kong Special Administrative Region",37942,34,7488865
Colombia,38402,333,51874024
Costa Rica,2258,167,5180829
Côte d'Ivoire,2645,103,27825268
Croatia,20417,2037,4030358
Cuba,0,0,11212191
Czechia,11351,567,10493986
North Korea,240,0,26069416
Dem. Rep. Congo,1053,25,99010212
Denmark,229910,16157,5882261
Dominica,0,0,72737
Dominican Rep.,1368,33,11228821
Ecuador,3081,145,18001000
Egypt,8130,788,110990103
El Salvador,623,113,6336392
Estonia,3444,180,1326062
Ethiopia,4048,408,123379924
Fiji,1343,210,929766
Finland,209,99,5540745
France,377200,19537,64626628
French Guiana,208,118,304557
Gabon,207,39,2388992
Georgia,1595,182,3744385
Germany,4387,572,83369843
Ghana,6048,1073,33475870
Greece,170,29,10384971
Grenada,0,0,125438
Guadeloupe,0,0,395752
Guatemala,1519,0,17843908
Guinea,777,12,13859341
Haiti,2396,222,11584996
Honduras,1080,162,10432860
Hungary,600,781,9967308
Iceland,6077,703,372899
India,36177,657,1417173173
Indonesia,118,9,275501339
Iran,28747,2071,88550570
Iraq,1944,5,44496122
Ireland,5930,371,5023109
Israel,9045,355,9038309
Italy,10506,1997,59037474
Jamaica,712,17,2827377
Japan,0,21,123951692
Jordan,2272,89,11285869
Kazakhstan,5371,32,19397998
Kenya,1981,309,54027487
Kyrgyzstan,203,2,6630623
Laos,2933,175,7529475
Latvia,1422,141,1850651
Lebanon,3391,17,5489739
Lithuania,5775,114,2750055
Luxembourg,1407,361,647599
Madagascar,1751,223,29611714
Malaysia,22483,3161,33938221
Maldives,794,79,523787
Mali,488,14,22593590
Martinique,0,0,367507
Mauritania,50,11,4736139
Mauritius,5829,207,1299469
Mexico,16347,2627,127504125
Mongolia,3438,272,3398366
Montenegro,564,173,627082
Morocco,219,28,37457971
Mozambique,2754,282,32969518
Myanmar,135,0,54179306
Nepal,4860,273,30547580
Netherlands,566,10684,17564014
Nicaragua,4917,630,6948392
Niger,912,20,26207977
Nigeria,800,10,218541212
Norway,390579,13422,5434319
Oman,12223,261,4576298
Pakistan,20736,460,235824862
Panama,11453,428,4408581
Paraguay,46501,814,6780744
Peru,16542,2077,34049588
Philippines,1822,76,115559009
Poland,1907,407,39857145
Portugal,117462,8731,10270865
Qatar,10316,2110,2695122
South Korea,4168,38,51815810
Moldova,2919,210,3272996
Romania,14839,1039,19659267
Russia,109479,2572,144713314
Saint Kitts and Nevis,0,0,47657
Saint Lucia,0,0,179857
Saint Vincent and the Grenadines,0,0,103948
Saudi Arabia,3334,269,36408820
Senegal,1226,186,17316449
Serbia,1222,506,7221365
Sierra Leone,0,0,8605718
Singapore,4001,261,5975689
Slovakia,1209,45,5643453
Slovenia,27594,1125,2119844
South Africa,6987,786,59893885
S. Sudan,408,8,10913164
Spain,230422,8435,47558630
Sri Lanka,742,74,21832143
Suriname,4,4,618040
Sweden,265086,5349,10549347
Switzerland,2062,11776,8740472
Syria,1236,13,22125249
Tajikistan,70,2,9952787
Thailand,5716,204,71697030
Timor-Leste,3664,202,1341296
Togo,1643,138,8848699
Trinidad and Tobago,0,0,1531044
Tunisia,1194,118,12356117
Turkey,1209,173,85341241
Turks and Caicos Islands,0,0,45703
Uganda,4931,357,47249585
Ukraine,1726,71,39701739
United Arab Emirates,1507,146,9441129
United Kingdom,327380,9679,67508936
Tanzania,5670,278,65497748
United States of America,3193929,122497,338289857
Uruguay,1376,160,3422794
Uzbekistan,71,1,34627652
Venezuela,278,14,28301696
Vietnam,33,0,98186856
Zambia,3013,215,20017675
Zimbabwe,348,45,16320537
Kosovo,334,25,1769710
